_id,name,slug
eb604a01-ccc5-42de-8807-061dceabd257,[Гарри Поттер] Битва факультетов. Финал SPB,garri-potter-bitva-fakultetov-final-spb
18c81240-39b8-40f3-910b-63a6b15eef43,[300к1] 18+ SPB,300k1-18-plus-spb
5c48b092-52c7-4c5c-b8c3-778f5f5bb099,[про кино] Советские комедии SPB,pro-kino-sovetskie-komedii-spb
05d147da-06d9-4af2-902e-7b94266ac941,HELLO 2024 [стрим] SPB,hello-2024-strim-spb
8699cc1c-b9f2-4844-943e-ecde1b67e0e5,[music party] Застольная SPB,music-party-zastolnaya-spb
2a9ae836-e356-4d48-a4f3-c2e00860f3eb,Шазам 90-е [стрим] SPB,shazam-90-e-strim-spb
f4af32d7-fc62-45b5-bd83-d4869dbfc80d,"Квиз, плиз!.jpeg. Новогодний SPB",quiz-pleasejpeg-novogodnij-spb
3271e832-7801-4c54-ae91-29c84f3d58ce,[HELLO 2024] SPB,hello-2024-spb
ce048d16-e229-45d5-9ca9-fc862fd9e9c1,300к1 [стрим] SPB,300k1-strim-spb
419ef1fc-0681-41eb-a29e-f38fc8a01a7e,[Гарри Поттер] Битва факультетов SPB,garri-potter-bitva-fakultetov-spb
63f4f1c1-ca1b-4cdf-9169-4ce246c49d1a,[300к1] 90-е SPB,300k1-90-e-spb
1427beab-2bc6-408e-9692-1a1a94db4cb0,[шазам] хип-хоп SPB,shazam-hip-hop-spb
ef144123-61e7-407d-a673-3db170bece7c,[TV и реклама] 2000-е SPB,tv-i-reklama-2000-e-spb
01c6db91-743c-48de-aa6c-d82672284166,[music party] кринж эдишн SPB,music-party-krinzh-edishn-spb
7ce43442-b744-4d0d-b2fc-b998bac77345,Music party [стрим] рок SPB,music-party-strim-rok-spb
6f759939-9be6-497c-b513-742162f62cda,Music party [стрим] 2000-х SPB,music-party-strim-2000-h-spb
8ad9bab4-c94a-41c2-8add-997858cef55d,[Октоберфест] SPB,oktoberfest-spb
